script	cell	pad	frac	cut	i	gold	doc_tokens	needle_start	needle_end	needle_tokens	realized_frac	delta_vs_label
baseline	limit=1024	0	end	0	0	billing	18	1	18	17	0.0556	1
baseline	limit=1024	0	end	0	1	technical	14	1	14	13	0.0714	1
baseline	limit=1024	0	end	0	2	sales	15	1	15	14	0.0667	1
baseline	limit=1024	0	end	0	3	billing	15	1	15	14	0.0667	1
baseline	limit=1024	0	end	0	4	technical	17	1	17	16	0.0588	1
baseline	limit=1024	0	end	0	5	sales	14	1	14	13	0.0714	1
baseline	limit=1024	0	end	0	6	billing	20	1	20	19	0.05	1
baseline	limit=1024	0	end	0	7	technical	12	1	12	11	0.0833	1
baseline	limit=1024	0	end	0	8	sales	15	1	15	14	0.0667	1
baseline	limit=1024	0	end	0	9	billing	22	1	22	21	0.0455	1
baseline	limit=1024	0	end	0	10	technical	13	1	13	12	0.0769	1
baseline	limit=1024	0	end	0	11	billing	21	1	21	20	0.0476	1
baseline	limit=1024	0	end	0	12	technical	14	1	14	13	0.0714	1
baseline	limit=1024	0	end	0	13	billing	15	1	15	14	0.0667	1
baseline	limit=1024	0	end	0	14	technical	15	1	15	14	0.0667	1
baseline	limit=1024	0	end	0	15	sales	12	1	12	11	0.0833	1
baseline	limit=1024	0	end	0	16	billing	25	1	25	24	0.04	1
baseline	limit=1024	0	end	0	17	technical	16	1	16	15	0.0625	1
baseline	limit=1024	0	end	0	18	billing	16	1	16	15	0.0625	1
baseline	limit=1024	0	end	0	19	billing	24	1	24	23	0.0417	1
baseline	limit=1024	1000	end	1000	0	billing	1018	1001	1018	17	0.9833	1
baseline	limit=1024	1000	end	1000	1	technical	1014	1001	1014	13	0.9872	1
baseline	limit=1024	1000	end	1000	2	sales	1015	1001	1015	14	0.9862	1
baseline	limit=1024	1000	end	1000	3	billing	1015	1001	1015	14	0.9862	1
baseline	limit=1024	1000	end	1000	4	technical	1017	1001	1017	16	0.9843	1
baseline	limit=1024	1000	end	1000	5	sales	1014	1001	1014	13	0.9872	1
baseline	limit=1024	1000	end	1000	6	billing	1020	1001	1020	19	0.9814	1
baseline	limit=1024	1000	end	1000	7	technical	1012	1001	1012	11	0.9891	1
baseline	limit=1024	1000	end	1000	8	sales	1015	1001	1015	14	0.9862	1
baseline	limit=1024	1000	end	1000	9	billing	1022	1001	1022	21	0.9795	1
baseline	limit=1024	1000	end	1000	10	technical	1013	1001	1013	12	0.9882	1
baseline	limit=1024	1000	end	1000	11	billing	1021	1001	1021	20	0.9804	1
baseline	limit=1024	1000	end	1000	12	technical	1014	1001	1014	13	0.9872	1
baseline	limit=1024	1000	end	1000	13	billing	1015	1001	1015	14	0.9862	1
baseline	limit=1024	1000	end	1000	14	technical	1015	1001	1015	14	0.9862	1
baseline	limit=1024	1000	end	1000	15	sales	1012	1001	1012	11	0.9891	1
baseline	limit=1024	1000	end	1000	16	billing	1025	1001	1025	24	0.9766	1
baseline	limit=1024	1000	end	1000	17	technical	1016	1001	1016	15	0.9852	1
baseline	limit=1024	1000	end	1000	18	billing	1016	1001	1016	15	0.9852	1
baseline	limit=1024	1000	end	1000	19	billing	1024	1001	1024	23	0.9775	1
baseline	limit=1024	2000	end	2000	0	billing	2018	2001	2018	17	0.9916	1
baseline	limit=1024	2000	end	2000	1	technical	2014	2001	2014	13	0.9935	1
baseline	limit=1024	2000	end	2000	2	sales	2015	2001	2015	14	0.9931	1
baseline	limit=1024	2000	end	2000	3	billing	2015	2001	2015	14	0.9931	1
baseline	limit=1024	2000	end	2000	4	technical	2017	2001	2017	16	0.9921	1
baseline	limit=1024	2000	end	2000	5	sales	2014	2001	2014	13	0.9935	1
baseline	limit=1024	2000	end	2000	6	billing	2020	2001	2020	19	0.9906	1
baseline	limit=1024	2000	end	2000	7	technical	2012	2001	2012	11	0.9945	1
baseline	limit=1024	2000	end	2000	8	sales	2015	2001	2015	14	0.9931	1
baseline	limit=1024	2000	end	2000	9	billing	2022	2001	2022	21	0.9896	1
baseline	limit=1024	2000	end	2000	10	technical	2013	2001	2013	12	0.994	1
baseline	limit=1024	2000	end	2000	11	billing	2021	2001	2021	20	0.9901	1
baseline	limit=1024	2000	end	2000	12	technical	2014	2001	2014	13	0.9935	1
baseline	limit=1024	2000	end	2000	13	billing	2015	2001	2015	14	0.9931	1
baseline	limit=1024	2000	end	2000	14	technical	2015	2001	2015	14	0.9931	1
baseline	limit=1024	2000	end	2000	15	sales	2012	2001	2012	11	0.9945	1
baseline	limit=1024	2000	end	2000	16	billing	2025	2001	2025	24	0.9881	1
baseline	limit=1024	2000	end	2000	17	technical	2016	2001	2016	15	0.9926	1
baseline	limit=1024	2000	end	2000	18	billing	2016	2001	2016	15	0.9926	1
baseline	limit=1024	2000	end	2000	19	billing	2024	2001	2024	23	0.9886	1
baseline	limit=1024	4000	end	4000	0	billing	4018	4001	4018	17	0.9958	1
baseline	limit=1024	4000	end	4000	1	technical	4014	4001	4014	13	0.9968	1
baseline	limit=1024	4000	end	4000	2	sales	4015	4001	4015	14	0.9965	1
baseline	limit=1024	4000	end	4000	3	billing	4015	4001	4015	14	0.9965	1
baseline	limit=1024	4000	end	4000	4	technical	4017	4001	4017	16	0.996	1
baseline	limit=1024	4000	end	4000	5	sales	4014	4001	4014	13	0.9968	1
baseline	limit=1024	4000	end	4000	6	billing	4020	4001	4020	19	0.9953	1
baseline	limit=1024	4000	end	4000	7	technical	4012	4001	4012	11	0.9973	1
baseline	limit=1024	4000	end	4000	8	sales	4015	4001	4015	14	0.9965	1
baseline	limit=1024	4000	end	4000	9	billing	4022	4001	4022	21	0.9948	1
baseline	limit=1024	4000	end	4000	10	technical	4013	4001	4013	12	0.997	1
baseline	limit=1024	4000	end	4000	11	billing	4021	4001	4021	20	0.995	1
baseline	limit=1024	4000	end	4000	12	technical	4014	4001	4014	13	0.9968	1
baseline	limit=1024	4000	end	4000	13	billing	4015	4001	4015	14	0.9965	1
baseline	limit=1024	4000	end	4000	14	technical	4015	4001	4015	14	0.9965	1
baseline	limit=1024	4000	end	4000	15	sales	4012	4001	4012	11	0.9973	1
baseline	limit=1024	4000	end	4000	16	billing	4025	4001	4025	24	0.994	1
baseline	limit=1024	4000	end	4000	17	technical	4016	4001	4016	15	0.9963	1
baseline	limit=1024	4000	end	4000	18	billing	4016	4001	4016	15	0.9963	1
baseline	limit=1024	4000	end	4000	19	billing	4024	4001	4024	23	0.9943	1
baseline	limit=1024	7000	end	7000	0	billing	7018	7001	7018	17	0.9976	1
baseline	limit=1024	7000	end	7000	1	technical	7014	7001	7014	13	0.9981	1
baseline	limit=1024	7000	end	7000	2	sales	7015	7001	7015	14	0.998	1
